date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:20:15	52353/52353	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Jun%202015%2011:18:58%20GMT	http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/home-slideshow.html	(from )
15:20:16	287/287	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2024%20Nov%202016%2009:50:16%20GMT	http://the8guild.com/robots.txt		(from )
15:20:16	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2218928018-47e-518c8f9430c80%22	http://the8guild.com/themes/html/eattie/v1.3/favicon.ico	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/favicon.ico	(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
15:20:16	249/249	---MC-	200	added ('OK')	text/css	date:Thu,%2024%20Nov%202016%2009:50:16%20GMT	http://fonts.googleapis.com/css?family=Marmelad	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/fonts.googleapis.com/css37a7.css	(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
15:20:17	467/467	---MC-	200	added ('OK')	text/css	date:Thu,%2024%20Nov%202016%2009:50:17%20GMT	http://fonts.googleapis.com/css?family=PT+Sans:400,700	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/fonts.googleapis.com/csscd33.css	(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
15:20:21	23739/23739	---M--	200	added ('OK')	text/css	etag:%225582a924-5cbb%22	http://the8guild.com/themes/html/eattie/v1.3/css/font-awesome.min.css	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/css/font-awesome.min.css	(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
15:20:21	8586/8586	---M--	200	added ('OK')	text/css	etag:%225582a924-218a%22	http://the8guild.com/themes/html/eattie/v1.3/css/animate-custom.css	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/css/animate-custom.css	(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
15:20:22	8859/8859	---M--	200	added ('OK')	application/x-javascript	etag:%225582a935-229b%22	http://the8guild.com/themes/html/eattie/v1.3/js/libs/modernizr.custom.js	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/js/libs/modernizr.custom.js	(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
15:20:23	26789/26789	---M--	200	added ('OK')	image/svg+xml	etag:%225582a926-68a5%22	http://the8guild.com/themes/html/eattie/v1.3/img/logo-big.svg	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/img/logo-big.svg	(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
15:20:24	2982/2982	---M--	200	added ('OK')	image/png	etag:%225582a926-ba6%22	http://the8guild.com/themes/html/eattie/v1.3/img/logo-big.png	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/img/logo-big.png	(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
15:20:28	20722/20722	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Jun%202015%2011:18:58%20GMT	http://the8guild.com/themes/html/eattie/v1.3/menu1.html	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/menu1.html	(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
15:20:29	12775/12775	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Jun%202015%2011:18:59%20GMT	http://the8guild.com/themes/html/eattie/v1.3/menu2.html	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/menu2.html	(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
15:20:30	13788/13788	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Jun%202015%2011:18:59%20GMT	http://the8guild.com/themes/html/eattie/v1.3/reviews.html	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/reviews.html	(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
15:20:31	12468/12468	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Jun%202015%2011:18:59%20GMT	http://the8guild.com/themes/html/eattie/v1.3/reviews-single.html	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/reviews-single.html	(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
15:20:33	11167/11167	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Jun%202015%2011:18:59%20GMT	http://the8guild.com/themes/html/eattie/v1.3/recipes.html	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/recipes.html	(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
15:20:34	1636/1636	---M--	200	added ('OK')	image/svg+xml	etag:%225582a928-664%22	http://the8guild.com/themes/html/eattie/v1.3/img/about/icon1.svg	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/img/about/icon1.svg	(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
15:20:35	3646/3646	---M--	200	added ('OK')	image/png	etag:%225582a928-e3e%22	http://the8guild.com/themes/html/eattie/v1.3/img/about/icon1.png	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/img/about/icon1.png	(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
15:20:36	2370/2370	---M--	200	added ('OK')	image/svg+xml	etag:%225582a928-942%22	http://the8guild.com/themes/html/eattie/v1.3/img/about/icon2.svg	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/img/about/icon2.svg	(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
